,State,ST,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Alabama,AL,4048508,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,5031864,5050380,5073903,5108468
1,Alaska,AK,553120,569273,587073,596993,600624,601345,604918,608846,615205,619500,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713982,722349,730810,737626,737075,738430,742575,740983,736624,732964,734923,733276,733406
2,Arizona,AZ,3679056,3762394,3867333,3993390,4147561,4306908,4432308,4552207,4667277,4778332,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7186683,7272487,7365684,7431344
3,Arkansas,AR,2354343,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3014348,3028443,3046404,3067732
4,California,CA,29950111,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39503200,39145060,39040616,38965193
5,Colorado,CO,3303862,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5029196,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5785219,5811596,5841039,5877610
6,Connecticut,CT,3289056,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3574097,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3577586,3603691,3608706,3617176
7,Delaware,DE,669063,680495,690158,699475,708416,718265,727090,735024,744066,753538,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,897934,899647,907590,915518,924062,933131,942065,949989,957942,966985,991862,1004881,1019459,1031890
8,District of Columbia,DC,603814,593239,584183,576358,564982,551273,538273,528752,521426,519000,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,601723,605282,620290,635737,651559,663603,677014,687576,697079,704147,670839,669037,670949,678972
9,Florida,FL,13018365,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18801310,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21591299,21830708,22245521,22610726
10,Georgia,GA,6506531,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9687653,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10732390,10790385,10913150,11029227
11,Hawaii,HI,1112703,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1360301,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1451181,1446745,1439399,1435138
