"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00074227714,00074,2277,14,2002,4,false,HYDROCODON,7737.000,173.000000000,9466.43,0.00,0.00
FFSU,AK,00074227754,00074,2277,54,2002,4,false,HYDROCODON,728.000,19.000000000,853.35,0.00,0.00
FFSU,AK,00121065516,00121,0655,16,2002,4,false,HYDROCODON,2898.000,20.000000000,422.07,0.00,0.00
FFSU,AK,00172564370,00172,5643,70,2002,4,false,HYDROCODON,1811.000,48.000000000,494.35,0.00,0.00
FFSU,AK,00182069101,00182,0691,01,2002,4,false,HYDROCODON,437.000,12.000000000,161.54,0.00,0.00
FFSU,AK,00406035701,00406,0357,01,2002,4,false,HYDROCODON,20004.000,784.000000000,7750.21,0.00,0.00
FFSU,AK,00406035801,00406,0358,01,2002,4,false,HYDROCODON,1152.000,36.000000000,433.67,0.00,0.00
FFSU,AK,00406035805,00406,0358,05,2002,4,false,HYDROCODON,1681.000,46.000000000,611.93,0.00,0.00
FFSU,AK,00406035901,00406,0359,01,2002,4,false,HYDROCODON,2104.000,79.000000000,724.35,0.00,0.00
FFSU,AK,00406035905,00406,0359,05,2002,4,false,HYDROCODON,1114.000,30.000000000,386.60,0.00,0.00
FFSU,AK,00406036001,00406,0360,01,2002,4,false,HYDROCODON,4109.000,129.000000000,1313.68,0.00,0.00
FFSU,AK,00406036005,00406,0360,05,2002,4,false,HYDROCODON,20612.000,543.000000000,5794.04,0.00,0.00
FFSU,AK,00406036101,00406,0361,01,2002,4,false,HYDROCODON,2378.000,40.000000000,677.53,0.00,0.00
FFSU,AK,00406036201,00406,0362,01,2002,4,false,HYDROCODON,4900.000,63.000000000,2799.52,0.00,0.00
FFSU,AK,00406036305,00406,0363,05,2002,4,false,HYDROCODON,2227.000,29.000000000,1034.90,0.00,0.00
FFSU,AK,00406036701,00406,0367,01,2002,4,false,HYDROCODON,6635.000,85.000000000,3979.85,0.00,0.00
FFSU,AK,00406036705,00406,0367,05,2002,4,false,HYDROCODON,4765.000,78.000000000,3081.82,0.00,0.00
FFSU,AK,00406037516,00406,0375,16,2002,4,false,HYDROCODON,18289.864,99.000000000,2479.79,0.00,0.00
FFSU,AK,00591034901,00591,0349,01,2002,4,false,HYDROCODON,1698.000,57.000000000,544.33,0.00,0.00
FFSU,AK,00591034905,00591,0349,05,2002,4,false,HYDROCODON,31789.000,997.000000000,9998.75,0.00,0.00
FFSU,AK,00591038501,00591,0385,01,2002,4,false,HYDROCODON,4621.000,96.000000000,1424.35,0.00,0.00
FFSU,AK,00591038505,00591,0385,05,2002,4,false,HYDROCODON,12296.000,238.000000000,3756.86,0.00,0.00
FFSU,AK,00591038701,00591,0387,01,2002,4,false,HYDROCODON,1659.000,59.000000000,622.04,0.00,0.00
FFSU,AK,00591038705,00591,0387,05,2002,4,false,HYDROCODON,17639.000,410.000000000,5292.83,0.00,0.00
FFSU,AK,00591050201,00591,0502,01,2002,4,false,HYDROCODON,1239.000,36.000000000,421.39,0.00,0.00
FFSU,AK,00591050205,00591,0502,05,2002,4,false,HYDROCODON,11388.000,311.000000000,3324.98,0.00,0.00
FFSU,AK,00591050301,00591,0503,01,2002,4,false,HYDROCODON,8490.000,155.000000000,2353.34,0.00,0.00
FFSU,AK,00591050305,00591,0503,05,2002,4,false,HYDROCODON,9479.000,155.000000000,2666.86,0.00,0.00
FFSU,AK,00591054001,00591,0540,01,2002,4,false,HYDROCODON,8177.000,103.000000000,4293.66,0.00,0.00
FFSU,AK,00591054005,00591,0540,05,2002,4,false,HYDROCODON,3971.000,45.000000000,2063.42,0.00,0.00
FFSU,AK,00591085305,00591,0853,05,2002,4,false,HYDROCODON,31847.000,345.000000000,21578.36,0.00,0.00
