"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00054378563,00054,3785,63,2002,4,false,"MORPHINE 1",4204.100,23.000000000,396.32,0.00,0.00
FFSU,AK,00074126101,00074,1261,01,2002,4,false,"MORPHINE S",1649.000,12.000000000,1086.86,0.00,0.00
FFSU,AK,58177031304,58177,0313,04,2002,4,false,"MORPHINE S",7352.000,78.000000000,1656.18,0.00,0.00
FFSU,AK,60951065370,60951,0653,70,2002,4,false,"MORPHINE S",23305.000,294.000000000,38029.40,0.00,0.00
FFSU,AK,60951065570,60951,0655,70,2002,4,false,"MORPHINE S",15317.000,222.000000000,48046.42,0.00,0.00
FFSU,AK,60951065870,60951,0658,70,2002,4,false,"Morphine S",3018.000,50.000000000,13828.43,0.00,0.00
FFSU,AK,63304070601,63304,0706,01,2002,4,false,"MORPHINE S",909.000,20.000000000,364.98,0.00,0.00
FFSU,AK,00054378563,00054,3785,63,2002,3,false,"MORPHINE 1",5115.000,20.000000000,440.58,0.00,0.00
FFSU,AK,58177031304,58177,0313,04,2002,3,false,"MORPHINE S",6377.000,60.000000000,1340.69,0.00,0.00
FFSU,AK,60951065370,60951,0653,70,2002,3,false,"MORPHINE S",18190.000,219.000000000,29580.25,0.00,0.00
FFSU,AK,60951065570,60951,0655,70,2002,3,false,"MORPHINE S",12845.000,155.000000000,40005.05,0.00,0.00
FFSU,AK,60951065870,60951,0658,70,2002,3,false,"Morphine S",3607.000,47.000000000,15802.53,0.00,0.00
FFSU,AK,61703022543,61703,0225,43,2002,3,false,"MORPHINE S",520.000,13.000000000,2319.69,0.00,0.00
FFSU,AK,63304070601,63304,0706,01,2002,3,false,"MORPHINE S",576.000,19.000000000,246.22,0.00,0.00
FFSU,AK,00074126101,00074,1261,01,2002,2,false,"MORPHINE S",2261.000,12.000000000,1502.38,0.00,0.00
FFSU,AK,58177031304,58177,0313,04,2002,2,false,"MORPHINE S",6637.000,46.000000000,1268.33,0.00,0.00
FFSU,AK,60951065370,60951,0653,70,2002,2,false,"MORPHINE S",14956.000,161.000000000,23867.99,0.00,0.00
FFSU,AK,60951065570,60951,0655,70,2002,2,false,"MORPHINE S",8029.000,98.000000000,24858.16,0.00,0.00
FFSU,AK,60951065870,60951,0658,70,2002,2,false,"Morphine S",2188.000,22.000000000,9522.51,0.00,0.00
FFSU,AK,63304070601,63304,0706,01,2002,2,false,"MORPHINE S",554.000,11.000000000,197.32,0.00,0.00
