"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00054055125,00054,0551,25,2016,4,false,OXYCODONE-,20449.000,619.000000000,9408.40,9387.95,20.45
FFSU,AK,00093573101,00093,5731,01,2016,4,false,"OXYCODONE ",1650.000,27.000000000,3942.65,3942.65,0.00
FFSU,AK,00093573201,00093,5732,01,2016,4,false,"OXYCODONE ",2960.000,42.000000000,12928.02,12928.02,0.00
FFSU,AK,00228287811,00228,2878,11,2016,4,false,"OXYCODONE ",13970.000,168.000000000,4628.29,4628.29,0.00
FFSU,AK,00228287911,00228,2879,11,2016,4,false,"OXYCODONE ",9094.000,103.000000000,4237.09,4237.09,0.00
FFSU,AK,00228298150,00228,2981,50,2016,4,false,OXYCODONE-,18504.000,616.000000000,8717.21,8706.15,11.06
FFSU,AK,00228298211,00228,2982,11,2016,4,false,OXYCODONE-,8116.000,134.000000000,5077.37,5076.91,0.46
FFSU,AK,00228298311,00228,2983,11,2016,4,false,OXYCODONE-,22727.000,365.000000000,15888.48,15835.88,52.60
FFSU,AK,00406051201,00406,0512,01,2016,4,false,OXYCODONE-,21829.000,610.000000000,11102.76,11102.76,0.00
FFSU,AK,00406051205,00406,0512,05,2016,4,false,OXYCODONE-,872.000,27.000000000,566.89,566.89,0.00
FFSU,AK,00406052201,00406,0522,01,2016,4,false,OXYCODONE-,2231.000,37.000000000,1433.76,1433.76,0.00
FFSU,AK,00406052301,00406,0523,01,2016,4,false,OXYCODONE-,693.000,19.000000000,458.98,458.98,0.00
FFSU,AK,00406055201,00406,0552,01,2016,4,false,"OXYCODONE ",1440.000,22.000000000,407.27,407.27,0.00
FFSU,AK,00406853001,00406,8530,01,2016,4,false,"OXYCODONE ",885.000,12.000000000,443.12,443.12,0.00
FFSU,AK,00591269301,00591,2693,01,2016,4,false,"OXYCODONE ",1410.000,19.000000000,8627.89,8627.89,0.00
FFSU,AK,00591270801,00591,2708,01,2016,4,false,"OXYCODONE ",1194.000,14.000000000,12349.17,12349.17,0.00
FFSU,AK,00603499021,00603,4990,21,2016,4,false,"OXYCODONE ",5159.000,90.000000000,1648.09,1648.09,0.00
FFSU,AK,00603499028,00603,4990,28,2016,4,false,"OXYCODONE ",995.000,14.000000000,371.95,371.95,0.00
FFSU,AK,00781572601,00781,5726,01,2016,4,false,"OXYCODONE ",960.000,16.000000000,4215.37,4215.37,0.00
FFSU,AK,00904644461,00904,6444,61,2016,4,false,"OXYCODONE ",2772.000,44.000000000,963.28,963.28,0.00
FFSU,AK,10702000801,10702,0008,01,2016,4,false,"OXYCODONE ",2504.000,33.000000000,623.70,623.70,0.00
FFSU,AK,10702000901,10702,0009,01,2016,4,false,"OXYCODONE ",1640.000,19.000000000,639.80,639.80,0.00
FFSU,AK,10702001801,10702,0018,01,2016,4,false,"OXYCODONE ",1398.000,26.000000000,295.60,295.60,0.00
FFSU,AK,10702005601,10702,0056,01,2016,4,false,"OXYCODONE ",10151.000,128.000000000,2967.75,2967.75,0.00
FFSU,AK,10702005701,10702,0057,01,2016,4,false,"OXYCODONE ",4034.000,48.000000000,1769.43,1769.43,0.00
FFSU,AK,13107004601,13107,0046,01,2016,4,false,OXYCODONE-,1844.000,27.000000000,1305.84,1305.84,0.00
FFSU,AK,13107005501,13107,0055,01,2016,4,false,"OXYCODONE ",1174.000,18.000000000,308.58,308.58,0.00
FFSU,AK,42806000501,42806,0005,01,2016,4,false,"OXYCODONE ",1290.000,18.000000000,378.66,378.66,0.00
FFSU,AK,42806000701,42806,0007,01,2016,4,false,"OXYCODONE ",2666.000,29.000000000,928.95,928.95,0.00
FFSU,AK,42806000801,42806,0008,01,2016,4,false,"OXYCODONE ",2060.000,23.000000000,826.30,826.30,0.00
FFSU,AK,42858000101,42858,0001,01,2016,4,false,"OXYCODONE ",2378.000,43.000000000,725.57,716.76,8.81
FFSU,AK,42858000201,42858,0002,01,2016,4,false,"OXYCODONE ",4032.000,52.000000000,1324.96,1324.96,0.00
FFSU,AK,42858000301,42858,0003,01,2016,4,false,"OXYCODONE ",2167.000,31.000000000,770.52,770.52,0.00
FFSU,AK,42858000401,42858,0004,01,2016,4,false,"OXYCODONE ",2970.000,33.000000000,1408.69,1408.69,0.00
FFSU,AK,42858010201,42858,0102,01,2016,4,false,OXYCODONE-,12552.000,321.000000000,3763.70,3725.60,38.10
FFSU,AK,42858010301,42858,0103,01,2016,4,false,OXYCODONE-,4480.000,58.000000000,1617.89,1617.89,0.00
FFSU,AK,42858010401,42858,0104,01,2016,4,false,OXYCODONE-,24973.000,352.000000000,11930.47,11930.47,0.00
FFSU,AK,47781019601,47781,0196,01,2016,4,false,OXYCODONE-,3308.000,77.000000000,1343.29,1342.35,0.94
FFSU,AK,47781019605,47781,0196,05,2016,4,false,OXYCODONE-,6738.000,185.000000000,3287.35,3263.09,24.26
FFSU,AK,47781022901,47781,0229,01,2016,4,false,OXYCODONE-,6456.000,93.000000000,4047.51,4022.18,25.33
FFSU,AK,47781023001,47781,0230,01,2016,4,false,OXYCODONE-,5991.000,105.000000000,4348.75,4348.75,0.00
FFSU,AK,47781023005,47781,0230,05,2016,4,false,OXYCODONE-,5554.000,81.000000000,4194.85,4039.98,154.87
FFSU,AK,47781026405,47781,0264,05,2016,4,false,"OXYCODONE ",1300.000,16.000000000,440.04,440.04,0.00
FFSU,AK,47781026505,47781,0265,05,2016,4,false,"OXYCODONE ",1509.000,16.000000000,704.19,704.19,0.00
FFSU,AK,53746020301,53746,0203,01,2016,4,false,OXYCODONE-,19188.000,500.000000000,5421.65,5399.23,22.42
FFSU,AK,53746020305,53746,0203,05,2016,4,false,OXYCODONE-,2508.000,53.000000000,966.21,966.21,0.00
FFSU,AK,53746020401,53746,0204,01,2016,4,false,OXYCODONE-,39132.000,635.000000000,27120.74,27048.64,72.10
FFSU,AK,57664022388,57664,0223,88,2016,4,false,"OXYCODONE ",1737.000,29.000000000,408.98,408.98,0.00
FFSU,AK,57664022488,57664,0224,88,2016,4,false,"OXYCODONE ",4413.000,45.000000000,1999.99,1999.99,0.00
FFSU,AK,63304068301,63304,0683,01,2016,4,false,"OXYCODONE ",2985.000,43.000000000,18649.52,18649.52,0.00
FFSU,AK,63304068401,63304,0684,01,2016,4,false,"OXYCODONE ",1582.000,21.000000000,16411.81,16411.81,0.00
FFSU,AK,65162005110,65162,0051,10,2016,4,false,"OXYCODONE ",1125.000,13.000000000,541.87,541.87,0.00
